1215426,scam,1,10
1234567890,scam,1,10
1336393111,scam,1,10
1514807173,scam,1,10
15768075,scam,1,10
1619524719,scam,1,10
1833727218,scam,1,10
2012156974,scam,1,10
2012281119,scam,1,10
2012345966,scam,1,10
2012936586,scam,1,10
2012938169,scam,1,10
2012989139,scam,1,10
2013229130,scam,1,10
2013317556,scam,1,10
2013533136,scam,1,10
2013573885,scam,1,10
2013664897,scam,1,10
2013790234,scam,1,10
2014227387,scam,1,10
2014409487,scam,1,10
2014836795,scam,1,10
2014855823,scam,1,10
2014858719,scam,1,10
2015008824,scam,1,10
2015027608,scam,1,10
2015345822,scam,1,10
2015604293,scam,1,10
2015828058,scam,1,10
2015862998,scam,1,10
2015863641,scam,1,10
2015966917,scam,1,10
2016032536,scam,1,10
2016329506,scam,1,10
2016439064,scam,1,10
2016775160,scam,1,10
2017037404,scam,1,10
2017652542,scam,1,10
2017851750,scam,1,10
2018098418,scam,1,10
2018098891,scam,1,10
2018539088,scam,1,10
2018539409,scam,1,10
2019353443,scam,1,10
2019755356,scam,1,10
2019827034,scam,1,10
2021865,scam,1,10
2022408112,scam,1,10
2023041353,scam,1,10
2023262222,scam,1,10
2023455312,scam,1,10
2023598260,scam,1,10
2023899242,scam,1,10
2024809093,scam,1,10
2025052349,scam,1,10
2025055484,scam,1,10
2025056953,scam,1,10
2025057014,scam,1,10
2025391826,scam,1,10
2025391867,scam,1,10
2025493301,scam,1,10
2025969230,scam,1,10
2025993876,scam,1,10
2026301867,scam,1,10
2026422812,scam,1,10
2026435975,scam,1,10
2026500996,scam,1,10
2026601733,scam,1,10
2026979217,scam,1,10
2027504338,scam,1,10
2027692039,scam,1,10
2027694730,scam,1,10
2027694768,scam,1,10
2027694961,scam,1,10
2027700514,scam,1,10
2027703346,scam,1,10
2027808237,scam,1,10
2028669996,scam,1,10
2029209655,scam,1,10
2029291532,scam,1,10
2029331071,scam,1,10
2029514650,scam,1,10
2029709734,scam,1,10
2029726950,scam,1,10
2029856826,scam,1,10
2029928298,scam,1,10
2029981231,scam,1,10
2029983143,scam,1,10
2032494685,scam,1,10
2032836999,scam,1,10
2032900699,scam,1,10
2032983749,scam,1,10
2032987806,scam,1,10
2033377465,scam,1,10
2033499811,scam,1,10
2034091497,scam,1,10
2034790301,scam,1,10
2035025371,scam,1,10
2035864858,scam,1,10
2036335314,scam,1,10
2036645932,scam,1,10
2036899074,scam,1,10
2037037217,scam,1,10
2037918677,scam,1,10
2037931890,scam,1,10
2038067432,scam,1,10
2038848389,scam,1,10
2039022669,scam,1,10
2039026422,scam,1,10
2039029672,scam,1,10
2039029747,scam,1,10
2039875993,scam,1,10
2052064583,scam,1,10
2052245900,scam,1,10
2052731147,scam,1,10
2053164478,scam,1,10
2053315648,scam,1,10
2053487187,scam,1,10
2053737157,scam,1,10
2053814262,scam,1,10
2053831546,scam,1,10
2053874736,scam,1,10
2054099267,scam,1,10
2054258038,scam,1,10
2054343819,scam,1,10
2054376740,scam,1,10
2054450630,scam,1,10
2054456591,scam,1,10
2054555030,scam,1,10
2054658407,scam,1,10
2054692204,scam,1,10
2054737817,scam,1,10
2054982527,scam,1,10
2055126683,scam,1,10
2055255135,scam,1,10
2055374914,scam,1,10
2055377034,scam,1,10
2055458710,scam,1,10
2055763548,scam,1,10
2055838605,scam,1,10
20558388790,scam,1,10
2055887586,scam,1,10
2056059506,scam,1,10
2056158821,scam,1,10
2056195545,scam,1,10
2056206214,scam,1,10
2056224024,scam,1,10
205626935,scam,1,10
2056489650,scam,1,10
2056495892,scam,1,10
2056539014,scam,1,10
2056566093,scam,1,10
2056566295,scam,1,10
2056835158,scam,1,10
2056835961,scam,1,10
2056848056,scam,1,10
2056848451,scam,1,10
2056849407,scam,1,10
2056976198,scam,1,10
2056978978,scam,1,10
2057081789,scam,1,10
2057162275,scam,1,10
2057313146,scam,1,10
2057386151,scam,1,10
2057387230,scam,1,10
2057437901,scam,1,10
2057455066,scam,1,10
2057623820,scam,1,10
2057623991,scam,1,10
2057624744,scam,1,10
2057626201,scam,1,10
2057824216,scam,1,10
2057945185,scam,1,10
2057979116,scam,1,10
2057979346,scam,1,10
2058085277,scam,1,10
2058286194,scam,1,10
2058912486,scam,1,10
2059475234,scam,1,10
2059511207,scam,1,10
2059524124,scam,1,10
2059574093,scam,1,10
2059694895,scam,1,10
2059717654,scam,1,10
2059732025,scam,1,10
2062084233,scam,1,10
2062084293,scam,1,10
2062108301,scam,1,10
2062598244,scam,1,10
2062629654,scam,1,10
2062951514,scam,1,10
2063091504,scam,1,10
